"PART_ID","REF_PART_ID","TYPE","LANGUAGE","META_VALUES","CREATE_TIME","MODIFY_TIME","STATUS"
"3700014600",CP4260,ReplacementPartNumberReference,de,,2019-06-04 07:26:22,2019-06-04 07:26:22,"1"
"3700014600",CP4260,ReplacementPartNumberReference,en,,2019-06-04 05:10:54,2019-06-04 05:10:54,"1"
"3700014600",CP4260,ReplacementPartNumberReference,es,,2019-06-04 09:41:15,2019-06-04 09:41:15,"1"
"3700014600",CP4260,ReplacementPartNumberReference,fr,,2019-06-04 06:19:03,2019-06-04 06:19:03,"1"
"3700014600",CP4260,ReplacementPartNumberReference,it,,2019-06-04 11:56:28,2019-06-04 11:56:28,"1"
"3700014600",CP4260,ReplacementPartNumberReference,ja,,2019-06-04 08:33:49,2019-06-04 08:33:49,"1"
"3700014600",CP4260,ReplacementPartNumberReference,zh,,2019-06-04 10:48:50,2019-06-04 10:48:50,"1"
PST-4395M1000,SOL-0201,StandardComponentsReference,de,StandardConcentration|1000 µg/mL#,2019-06-04 07:06:48,2019-06-04 07:06:48,"1"
PST-4395M1000,SOL-0201,StandardComponentsReference,en,StandardConcentration|1000 µg/mL#,2019-06-04 04:50:49,2019-06-04 04:50:49,"1"
PST-4395M1000,SOL-0201,StandardComponentsReference,es,StandardConcentration|1000 µg/mL#,2019-06-04 09:21:37,2019-06-04 09:21:37,"1"
PST-4395M1000,SOL-0201,StandardComponentsReference,fr,StandardConcentration|1000 µg/mL#,2019-06-04 05:59:25,2019-06-04 05:59:25,"1"
PST-4395M1000,SOL-0201,StandardComponentsReference,it,StandardConcentration|1000 µg/mL#,2019-06-04 11:36:50,2019-06-04 11:36:50,"1"
PST-4395M1000,SOL-0201,StandardComponentsReference,ja,StandardConcentration|1000 µg/mL#,2019-06-04 08:14:08,2019-06-04 08:14:08,"1"
PST-4395M1000,SOL-0201,StandardComponentsReference,zh,StandardConcentration|1000 µg/mL#,2019-06-04 10:29:18,2019-06-04 10:29:18,"1"
PST-5015-10MG,SOL-2635,StandardComponentsReference,de,StandardConcentration|10 mg#,2019-06-04 07:04:00,2019-06-04 07:04:00,"1"
PST-5015-10MG,SOL-2635,StandardComponentsReference,en,StandardConcentration|10 mg#,2019-06-04 04:47:54,2019-06-04 04:47:54,"1"
PST-5015-10MG,SOL-2635,StandardComponentsReference,es,StandardConcentration|10 mg#,2019-06-04 09:18:48,2019-06-04 09:18:48,"1"
PST-5015-10MG,SOL-2635,StandardComponentsReference,fr,StandardConcentration|10 mg#,2019-06-04 05:56:35,2019-06-04 05:56:35,"1"
PST-5015-10MG,SOL-2635,StandardComponentsReference,it,StandardConcentration|10 mg#,2019-06-04 11:34:00,2019-06-04 11:34:00,"1"
PST-5015-10MG,SOL-2635,StandardComponentsReference,ja,StandardConcentration|10 mg#,2019-06-04 08:11:18,2019-06-04 08:11:18,"1"
PST-5015-10MG,SOL-2635,StandardComponentsReference,zh,StandardConcentration|10 mg#,2019-06-04 10:26:31,2019-06-04 10:26:31,"1"
NPM-525C-1,SOL-0991,StandardComponentsReference,de,StandardConcentration|100 µg/mL#,2019-06-20 05:27:47,2019-06-20 05:27:47,"1"
NPM-525C-1,SOL-0991,StandardComponentsReference,en,StandardConcentration|100 µg/mL#,2019-06-20 05:28:01,2019-06-20 05:28:01,"1"
NPM-525C-1,SOL-0991,StandardComponentsReference,es,StandardConcentration|100 µg/mL#,2019-06-20 05:28:39,2019-06-20 05:28:39,"1"
NPM-525C-1,SOL-0991,StandardComponentsReference,fr,StandardConcentration|100 µg/mL#,2019-06-20 05:27:34,2019-06-20 05:27:34,"1"
NPM-525C-1,SOL-0991,StandardComponentsReference,it,StandardConcentration|100 µg/mL#,2019-06-20 05:28:14,2019-06-20 05:28:14,"1"
NPM-525C-1,SOL-0991,StandardComponentsReference,ja,StandardConcentration|100 µg/mL#,2019-06-20 05:28:27,2019-06-20 05:28:27,"1"
NPM-525C-1,SOL-0991,StandardComponentsReference,zh,StandardConcentration|100 µg/mL#,2019-06-20 05:27:19,2019-06-20 05:27:19,"1"
PST-3960-10MG,SOL-2354,StandardComponentsReference,de,StandardConcentration|10 mg#,2019-06-04 07:03:55,2019-06-04 07:03:55,"1"
PST-3960-10MG,SOL-2354,StandardComponentsReference,en,StandardConcentration|10 mg#,2019-06-04 04:47:50,2019-06-04 04:47:50,"1"
PST-3960-10MG,SOL-2354,StandardComponentsReference,es,StandardConcentration|10 mg#,2019-06-04 09:18:44,2019-06-04 09:18:44,"1"
