"PART_ID","REF_PART_ID","TYPE","LANGUAGE","META_VALUES","CREATE_TIME","MODIFY_TIME","STATUS"
GKPC-005,"683775-913",CrossSellReference,de,Rank|3#,2019-08-21 17:25:03,2019-08-21 17:25:03,"1"
GKPC-005,"859700-913",CrossSellReference,de,Rank|2#,2019-08-21 17:25:03,2019-08-21 17:25:03,"1"
GKPC-005,GX96-IPC,CrossSellReference,de,Rank|1#,2019-08-21 17:25:03,2019-08-21 17:25:03,"1"
GKPC-005,"683775-913",CrossSellReference,en,Rank|3#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-005,"859700-913",CrossSellReference,en,Rank|2#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-005,GX96-IPC,CrossSellReference,en,Rank|1#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-005,"683775-913",CrossSellReference,es,Rank|3#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-005,"859700-913",CrossSellReference,es,Rank|2#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-005,GX96-IPC,CrossSellReference,es,Rank|1#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-005,"683775-913",CrossSellReference,fr,Rank|3#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-005,"859700-913",CrossSellReference,fr,Rank|2#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-005,GX96-IPC,CrossSellReference,fr,Rank|1#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-005,"683775-913",CrossSellReference,it,Rank|3#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-005,"859700-913",CrossSellReference,it,Rank|2#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-005,GX96-IPC,CrossSellReference,it,Rank|1#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-005,"683775-913",CrossSellReference,ja,Rank|3#,2019-08-21 17:26:11,2019-08-21 17:26:11,"1"
GKPC-005,"859700-913",CrossSellReference,ja,Rank|2#,2019-08-21 17:26:11,2019-08-21 17:26:11,"1"
GKPC-005,GX96-IPC,CrossSellReference,ja,Rank|1#,2019-08-21 17:26:11,2019-08-21 17:26:11,"1"
GKPC-005,"683775-913",CrossSellReference,zh,Rank|3#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-005,"859700-913",CrossSellReference,zh,Rank|2#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-005,GX96-IPC,CrossSellReference,zh,Rank|1#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-104,"859700-913",CrossSellReference,de,Rank|2#,2019-08-21 17:25:03,2019-08-21 17:25:03,"1"
GKPC-104,GX96-IPC,CrossSellReference,de,Rank|1#,2019-08-21 17:25:03,2019-08-21 17:25:03,"1"
GKPC-104,"683775-913",CrossSellReference,de,Rank|3#,2019-08-21 17:25:03,2019-08-21 17:25:03,"1"
GKPC-104,"859700-913",CrossSellReference,en,Rank|2#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-104,GX96-IPC,CrossSellReference,en,Rank|1#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-104,"683775-913",CrossSellReference,en,Rank|3#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-104,"859700-913",CrossSellReference,es,Rank|2#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-104,GX96-IPC,CrossSellReference,es,Rank|1#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-104,"683775-913",CrossSellReference,es,Rank|3#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-104,"859700-913",CrossSellReference,fr,Rank|2#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-104,GX96-IPC,CrossSellReference,fr,Rank|1#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-104,"683775-913",CrossSellReference,fr,Rank|3#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-104,"859700-913",CrossSellReference,it,Rank|2#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-104,GX96-IPC,CrossSellReference,it,Rank|1#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-104,"683775-913",CrossSellReference,it,Rank|3#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-104,"859700-913",CrossSellReference,ja,Rank|2#,2019-08-21 17:26:11,2019-08-21 17:26:11,"1"
GKPC-104,GX96-IPC,CrossSellReference,ja,Rank|1#,2019-08-21 17:26:11,2019-08-21 17:26:11,"1"
GKPC-104,"683775-913",CrossSellReference,ja,Rank|3#,2019-08-21 17:26:11,2019-08-21 17:26:11,"1"
GKPC-104,"859700-913",CrossSellReference,zh,Rank|2#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-104,GX96-IPC,CrossSellReference,zh,Rank|1#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-104,"683775-913",CrossSellReference,zh,Rank|3#,2019-08-21 17:24:20,2019-08-21 17:24:20,"1"
GKPC-106,GX96-IPC,CrossSellReference,de,Rank|1#,2019-08-21 17:25:04,2019-08-21 17:25:04,"1"
GKPC-106,"683775-913",CrossSellReference,de,Rank|3#,2019-08-21 17:25:04,2019-08-21 17:25:04,"1"
GKPC-106,"859700-913",CrossSellReference,de,Rank|2#,2019-08-21 17:25:04,2019-08-21 17:25:04,"1"
GKPC-106,GX96-IPC,CrossSellReference,en,Rank|1#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-106,"683775-913",CrossSellReference,en,Rank|3#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-106,"859700-913",CrossSellReference,en,Rank|2#,2019-08-21 17:25:24,2019-08-21 17:25:24,"1"
GKPC-106,GX96-IPC,CrossSellReference,es,Rank|1#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-106,"683775-913",CrossSellReference,es,Rank|3#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-106,"859700-913",CrossSellReference,es,Rank|2#,2019-08-21 17:26:45,2019-08-21 17:26:45,"1"
GKPC-106,GX96-IPC,CrossSellReference,fr,Rank|1#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-106,"683775-913",CrossSellReference,fr,Rank|3#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-106,"859700-913",CrossSellReference,fr,Rank|2#,2019-08-21 17:24:43,2019-08-21 17:24:43,"1"
GKPC-106,GX96-IPC,CrossSellReference,it,Rank|1#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-106,"683775-913",CrossSellReference,it,Rank|3#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-106,"859700-913",CrossSellReference,it,Rank|2#,2019-08-21 17:25:46,2019-08-21 17:25:46,"1"
GKPC-106,GX96-IPC,CrossSellReference,ja,Rank|1#,2019-08-21 17:26:12,2019-08-21 17:26:12,"1"
