Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|74|002755|H1142H|Familiarización en la instalación - 44L|ZHS|3001730855|20190612|119.68 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|74|003020|UP_FRONT_SERVICE_H|Up Front Support Services for Hardware|SV|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|003000|G4514A|Bandeja 7693A, 150 viales|ZHW|3001730855|20190612|6171.52 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|003010|G4514-64000|G4514A Tray (COO-CN)|FSA|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|003015|G4600-64006|GC And GC/MS User Manuals and Tools|ZSW|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|74|003510|H1141H|Instalación - 44K|ZHS|3001730855|20190612|239.36 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|004020|G4556-64014|111 Vial Model Tray|SA|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|74|003755|H1142H|Familiarización en la instalación - 44L|ZHS|3001730855|20190612|119.68 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|004000|G4557A|Muestr. Espacio cabeza 7697A, 111 vial|ZHW|3001730855|20190612|27842.56 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|004010|G4557-64000|7697A Sampler,111 Vial|ZXX|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|004030|G4556-60900|7697A Headspace Sampler Ship Kit|ZXX|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|004035|G4600-64006|GC And GC/MS User Manuals and Tools|ZSW|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|74|004070|UP_FRONT_SERVICE_H|Up Front Support Services for Hardware|SV|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|004040|G4556-60390|120V Config Assembly|IN|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
GlaxoSmithKine Consumer Healthcare|Mexico S de RL de CV|0070533138|0001|0308623695|20190614|AZ|004050|5182-9733|OQ/PV Headspace Sample|CS|3001730855|20190612|0.00 |0.000 |1.000 |ZTRD|77474.05 |MX|0070533138|A21
