Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
Celanese Corp||0070234728|0001|0308630322|20190618|58|001000|5183-2067|Vial,screw,2ml,clr,cert,1000CS|VI|VISA/MonicaCordell-O|20190617|223.19 |0.000 |1.000 |ZTRD|496.00 |US|0070234728|
Celanese Corp||0070234728|0001|0308630322|20190618|58|001010|5182-0714|Vial,screw,2ml,clr,cert,100PK|VI|VISA/MonicaCordell-O|20190617|0.00 |0.000 |10.000 |ZTRD|496.00 |US|0070234728|
Celanese Corp||0070234728|0001|0308630322|20190618|58|002000|5185-5863|Blue screw cap,PTFE/sil septa,500pk|VI|VISA/MonicaCordell-O|20190617|272.81 |0.000 |2.000 |ZTRD|496.00 |US|0070234728|
Sam Houston State University|C O Tries Analytical Labs|0070006334|0001|0308630634|20190618|58|001000|5185-5820|Blue screw caps,PTFE/red sil septa,500pk|VI|P0108616|20190617|187.00 |0.000 |2.000 |ZTRD|1045.50 |US|0070260443|
Sam Houston State University|C O Tries Analytical Labs|0070006334|0001|0308630634|20190618|58|002000|5188-6591|Vial,screw,300ul,w/insrt,clr,100PK|VI|P0108616|20190617|858.50 |0.000 |10.000 |ZTRD|1045.50 |US|0070260443|
Agropur MSI LLC||0070282371|0001|0308630661|20190618|AA|001000|G1329-87017|Seat assy 0.17mm ID Standard Autosampler|ZXX|SB9168B|20190617|360.00 |0.000 |2.000 |ZTRD|360.00 |US|0070282371|
University of Calgary||0070100599|0001|0308630690|20190618|58|002000|5182-0715|Vial,screw,2ml,clr,WrtOn,cert,100PK|VI|0000919259|20190617|205.80 |0.000 |10.000 |ZTRD|1651.10 |CA|0070161516|
University of Calgary||0070100599|0001|0308630690|20190618|58|003000|5182-0725|Screw caps, color: red,  100/PK|VI|0000919259|20190617|359.90 |0.000 |10.000 |ZTRD|1651.10 |CA|0070161516|
University of Calgary||0070100599|0001|0308630690|20190618|9P|001000|12256087|Mega Bond Elut PPL, 5gm 60ml, 16/Pk|ZXX|0000919259|20190617|1085.40 |0.000 |1.000 |ZTRD|1651.10 |CA|0070161516|
Ultradent Products Inc||0070003922|0001|0308630718|20190618|58|001000|EPA-1019-1|4-Chlorotoluene|CS|201435|20190617|245.60 |0.000 |8.000 |ZTRD|245.60 |US|0070003922|
