Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
United States Drug Testing|Laboratories Inc|0070007141|0001|0308634074|20190619|JW|004000|128-5512|DB-5MS 12m, 0.20mm, 0.33u|FA|19-F-1971|20190619|292.81 |0.000 |1.000 |ZTRD|2723.95 |US|0070007141|
United States Drug Testing|Laboratories Inc|0070007141|0001|0308634074|20190619|58|001000|5181-8830|Column nut, universal   2/PK|CONS|19-F-1971|20190619|143.78 |0.000 |5.000 |ZTRD|2723.95 |US|0070007141|
United States Drug Testing|Laboratories Inc|0070007141|0001|0308634074|20190619|58|002000|5190-7020|Liner,UI,Direct Connect,bottom hole,5pk|ZXX|19-F-1971|20190619|1024.99 |0.000 |4.000 |ZTRD|2723.95 |US|0070007141|
United States Drug Testing|Laboratories Inc|0070007141|0001|0308634074|20190619|58|003000|G1544-80730|Direct Connect Liner, single tapr, deact|CONS|19-F-1971|20190619|1262.37 |0.000 |20.000 |ZTRD|2723.95 |US|0070007141|
Genentech Inc||0070157657|0001|0308634111|20190619|AA|001000|G5615-60022|Bio-inert standard flow cell, RFID tag|FA|4002338353|20190619|1377.82 |0.000 |1.000 |ZTRD|1377.82 |US|0070362725|
Dow Chemical Co||0070030039|0001|0308634140|20190619|58|001000|5182-0838|Vial,HS,crimp,FB,10ml,clr,cert,100PK|VI|VISA/Walsh|20190617|129.04 |0.000 |4.000 |ZTRD|347.77 |US|0070030039|
Dow Chemical Co||0070030039|0001|0308634140|20190619|58|002000|5183-4477|Hdspc Al crmp cap,PTFE/Si sep,20mm,100PK|VI|VISA/Walsh|20190617|218.73 |0.000 |4.000 |ZTRD|347.77 |US|0070030039|
Edwards Lifesciences LLC||0070104162|0001|0308634146|20190619|58|001000|5183-4477|Hdspc Al crmp cap,PTFE/Si sep,20mm,100PK|VI|ON00109080|20190618|216.43 |0.000 |3.000 |ZTRD|384.90 |US|0070104162|
Edwards Lifesciences LLC||0070104162|0001|0308634146|20190619|58|002000|5182-0837|Vial,HS,crimp,FB,20ml,clr,cert,100PK|VI|ON00109080|20190618|168.47 |0.000 |3.000 |ZTRD|384.90 |US|0070104162|
Sirigen Inc||0070475099|0001|0308634186|20190619|AA|001000|5067-4648|SST cap. 0.17mm ID 700mm pre-swaged|FA|PF5813-6407|20190618|84.63 |0.000 |1.000 |ZTRD|806.55 |US|0070475099|
Sirigen Inc||0070475099|0001|0308634186|20190619|58|002000|5067-4723|Capillary ST 0.17 x 340mm SL-SX ns-ns|ZXX|PF5813-6407|20190618|250.22 |0.000 |3.000 |ZTRD|806.55 |US|0070475099|
Sirigen Inc||0070475099|0001|0308634186|20190619|58|003000|5067-4724|Capillary ST 0.17 mm x 90 mm S/SX|ZXX|PF5813-6407|20190618|320.00 |0.000 |4.000 |ZTRD|806.55 |US|0070475099|
Sirigen Inc||0070475099|0001|0308634186|20190619|AA|004000|G1316-87323|SST Capillary 170x0.17mm, m/m, n-s/n-s|CONS|PF5813-6407|20190618|68.30 |0.000 |1.000 |ZTRD|806.55 |US|0070475099|
Sirigen Inc||0070475099|0001|0308634186|20190619|58|005000|5067-4721|Capillary ST 0.17 x 200mm S-SX ns-ps|ZXX|PF5813-6407|20190618|83.40 |0.000 |1.000 |ZTRD|806.55 |US|0070475099|
Bausch Health Companies Inc||0070394820|0001|0308634201|20190619|58|003000|2140-0820|Lampe deut + ident par rdfrq pr DAD/MWD|LI|4500357137|20190618|1164.47 |0.000 |1.000 |ZTRD|2294.32 |CA|0070394820|
Bausch Health Companies Inc||0070394820|0001|0308634201|20190619|AA|002000|01078-87302|Capillary, 100uL loop|FA|4500357137|20190618|768.16 |0.000 |5.000 |ZTRD|2294.32 |CA|0070394820|
Bausch Health Companies Inc||0070394820|0001|0308634201|20190619|58|001000|0100-1852|Joint d'isolation pr vannes 0101-0920/1|VL|4500357137|20190618|361.69 |0.000 |10.000 |ZTRD|2294.32 |CA|0070394820|
Arizona State University||0070016538|0001|0308634232|20190619|BC|004000|820950-911|Diol Guard Cartridges 4.6x12.5mm 4/PK|FA|PO-19-00141222|20190618|237.15 |0.000 |1.000 |ZTRD|1004.85 |US|0070462059|
Arizona State University||0070016538|0001|0308634232|20190619|BC|003000|820999-901|High Perf. ZORBAX Guard Fittings Kit|ZXX|PO-19-00141222|20190618|418.20 |0.000 |2.000 |ZTRD|1004.85 |US|0070462059|
Arizona State University||0070016538|0001|0308634232|20190619|8P|002000|14-8927-002|PEEK tubing 1/16inch Gn,5 foot length|OE|PO-19-00141222|20190618|126.00 |0.000 |1.000 |ZTRD|1004.85 |US|0070462059|
Arizona State University||0070016538|0001|0308634232|20190619|58|001000|5182-0716|Vial,screw,2ml,ambr,WrtOn,cert,100PK|VI|PO-19-00141222|20190618|223.50 |0.000 |10.000 |ZTRD|1004.85 |US|0070462059|
Cripple Creek & Victor Gold Mining||0070354213|0001|0308634258|20190619|AA|001000|G8010-60263|Quartz tubeset demountable torch 5100 DV|CONS|3001970003|20190618|1185.44 |0.000 |6.000 |ZTRD|1185.44 |US|0070365283|
Akorn Inc||0070354744|0001|0308634273|20190619|BC|001000|863953-906|Rx/SB-C8 Rapid Res HPLC Col 4.6 x 150|FA|185348|20190618|1402.00 |0.000 |2.000 |ZTRD|1402.00 |US|0070007337|
University of Nebraska||0070459133|0001|0308634290|20190619|9P|001000|12113001|Bond Elut 1cc LRC-C18, 100mg, 50/pk|ZXX|E000650842|20190618|91.80 |0.000 |1.000 |ZTRD|91.80 |US|0070459133|
Brenntag Southwest Inc||0070279536|0001|0308634308|20190619|JW|001000|123-1334|DB-624 30m, 0.32mm, 1.80u|FA|Verbal Sbine|20190618|622.76 |0.000 |1.000 |ZTRD|622.76 |US|0070279536|
Pace Analytical Services LLC||0070375654|0001|0308634341|20190619|AA|001000|G8410-80103|SPS4 probe 1.0mm-id, blue marker, inert|OE|PO1332268|20190618|234.58 |0.000 |1.000 |ZTRD|326.50 |US|0070580454|
Pace Analytical Services LLC||0070375654|0001|0308634341|20190619|58|002000|PPS-250-1|1,2,3-Trichloropropane|CS|PO1332268|20190618|91.92 |0.000 |5.000 |ZTRD|326.50 |US|0070580454|
Virginia Commonwealth University||0070031168|0001|0308634357|20190619|BC|001000|820750-911|Poroshell 120, UHPLC Guard,EC-C18,4.6mm|ZXX|P0010385|20190618|462.40 |0.000 |1.000 |ZTRD|929.90 |US|0070493152|
Virginia Commonwealth University||0070031168|0001|0308634357|20190619|BC|002000|699975-902|Poroshell 120,EC-C18, 4.6x50mm,2.7um|ZXX|P0010385|20190618|467.50 |0.000 |1.000 |ZTRD|929.90 |US|0070493152|
California Institute of Technology||0070042128|0001|0308634372|20190619|AA|001000|G4301-20200|Seal SFC Booster|FL|68-S432807|20190618|198.90 |0.000 |1.000 |ZTRD|198.90 |US|0070275607|
AbbVie Inc||0070419114|0001|0308634395|20190619|XF|002000|203852-100|RESERVOIR 2 COL PART PYR PP 25/CS|PL|4201270192|20190618|175.01 |0.000 |1.000 |ZTRD|350.75 |US|0070412511|
AbbVie Inc||0070419114|0001|0308634395|20190619|XF|001000|201308-100|RESERVOIR 4 CL PART PYR PP 73ML 25/CS|PL|4201270192|20190618|175.74 |0.000 |1.000 |ZTRD|350.75 |US|0070412511|
Sofie Co||0070301051|0001|0308634425|20190619|9P|004000|SGI0001|ITLC-SG Chromatograpy paper 50/PK|ZXX|18656|20190615|618.14 |0.000 |1.000 |ZTRD|1150.00 |US|0070553863|
Sofie Co||0070301051|0001|0308634425|20190619|9P|003000|A120B12|Chromatography Paper, 12x4.5in, 50/pk|ZXX|18656|20190615|531.86 |0.000 |1.000 |ZTRD|1150.00 |US|0070553863|
Sofie Co||0070301051|0001|0308634443|20190619|9P|003000|A120B12|Chromatography Paper, 12x4.5in, 50/pk|ZXX|18678|20190615|531.11 |0.000 |1.000 |ZTRD|2074.00 |US|0070279229|
Sofie Co||0070301051|0001|0308634443|20190619|BC|002000|990967-202|Eclipse XDB-C18 Semi-Prep 5u, 9.4x250mm|FA|18678|20190615|1542.89 |0.000 |1.000 |ZTRD|2074.00 |US|0070279229|
Sofie Co||0070301051|0001|0308634456|20190619|BC|002000|990967-202|Eclipse XDB-C18 Semi-Prep 5u, 9.4x250mm|FA|18696|20190615|1544.77 |0.000 |1.000 |ZTRD|1771.00 |US|0070295398|
Sofie Co||0070301051|0001|0308634456|20190619|BC|001000|820950-925|Eclipse XDB-C18 4.6x12.5,5u Grd Car 4/PK|FA|18696|20190615|226.23 |0.000 |1.000 |ZTRD|1771.00 |US|0070295398|
Sofie Co||0070301051|0001|0308634471|20190619|BC|001000|820950-925|Eclipse XDB-C18 4.6x12.5,5u Grd Car 4/PK|FA|18748|20190615|226.23 |0.000 |1.000 |ZTRD|1771.00 |US|0070278543|
Sofie Co||0070301051|0001|0308634471|20190619|BC|002000|990967-202|Eclipse XDB-C18 Semi-Prep 5u, 9.4x250mm|FA|18748|20190615|1544.77 |0.000 |1.000 |ZTRD|1771.00 |US|0070278543|
Sofie Co||0070301051|0001|0308634487|20190619|9P|004000|SGI0001|ITLC-SG Chromatograpy paper 50/PK|ZXX|18772|20190615|622.00 |0.000 |1.000 |ZTRD|622.00 |US|0070276715|
Sofie Co||0070301051|0001|0308634507|20190619|9P|003000|A120B12|Chromatography Paper, 12x4.5in, 50/pk|ZXX|18822|20190615|531.11 |0.000 |1.000 |ZTRD|2074.00 |US|0070552482|
Sofie Co||0070301051|0001|0308634507|20190619|BC|002000|990967-202|Eclipse XDB-C18 Semi-Prep 5u, 9.4x250mm|FA|18822|20190615|1542.89 |0.000 |1.000 |ZTRD|2074.00 |US|0070552482|
Sofie Co||0070301051|0001|0308634519|20190619|BC|002000|990967-202|Eclipse XDB-C18 Semi-Prep 5u, 9.4x250mm|FA|18852|20190615|1544.77 |0.000 |1.000 |ZTRD|1771.00 |US|0070298937|
Sofie Co||0070301051|0001|0308634519|20190619|BC|001000|820950-925|Eclipse XDB-C18 4.6x12.5,5u Grd Car 4/PK|FA|18852|20190615|226.23 |0.000 |1.000 |ZTRD|1771.00 |US|0070298937|
Cape Breton University||0070102969|0001|0308634550|20190619|58|003000|5062-3508|Ferrule, 0.4mm VG cond .25 col lng 10/PK|CONS|VISA/Kaliaperumal|20190618|168.56 |0.000 |2.000 |ZTRD|711.78 |CA|0070102969|
Cape Breton University||0070102969|0001|0308634550|20190619|58|004000|5182-0551|4ml wash/waste vial  25/PK|VI|VISA/Kaliaperumal|20190618|28.14 |0.000 |1.000 |ZTRD|711.78 |CA|0070102969|
Cape Breton University||0070102969|0001|0308634550|20190619|58|005000|07673-40180|Diffusion caps for 4ml vials, 12/PK|PL|VISA/Kaliaperumal|20190618|50.48 |0.000 |2.000 |ZTRD|711.78 |CA|0070102969|
Cape Breton University||0070102969|0001|0308634550|20190619|AA|002000|05988-20066|Column Nut for MS interface|HM|VISA/Kaliaperumal|20190618|70.40 |0.000 |4.000 |ZTRD|711.78 |CA|0070102969|
Cape Breton University||0070102969|0001|0308634550|20190619|58|001000|SG092005|Inlet liner,SGE,split/less,2.3mm ID,5/p|CONS|VISA/Kaliaperumal|20190618|394.20 |0.000 |2.000 |ZTRD|711.78 |CA|0070102969|
George Washington University||0070474274|0001|0308634573|20190619|UF|001000|5067-4626|High Sensitivity DNA Kit|ZHW|MC/AlexanderIves|20190619|1170.40 |0.000 |2.000 |ZTRD|1170.40 |US|0070474274|
George Washington University||0070474274|0001|0308634573|20190619|UF|001010|G2938-68000|High Sensitivity DNA 10 Chips|BC|MC/AlexanderIves|20190619|0.00 |0.000 |2.000 |ZTRD|1170.40 |US|0070474274|
George Washington University||0070474274|0001|0308634573|20190619|UF|001020|G2938-68706|Syringe Kit|FA|MC/AlexanderIves|20190619|0.00 |0.000 |2.000 |ZTRD|1170.40 |US|0070474274|
George Washington University||0070474274|0001|0308634573|20190619|UF|001030|G2938-85004|High Sensitivity DNA Reagent I|BC|MC/AlexanderIves|20190619|0.00 |0.000 |2.000 |ZTRD|1170.40 |US|0070474274|
George Washington University||0070474274|0001|0308634573|20190619|UF|001040|G2938-90402|2100 MSDS Link Tech Note ENG|LP|MC/AlexanderIves|20190619|0.00 |0.000 |2.000 |ZTRD|1170.40 |US|0070474274|
George Washington University||0070474274|0001|0308634573|20190619|UF|001050|G2938-90322|2100 High sensitiv DNA Quick Guide ENG|LP|MC/AlexanderIves|20190619|0.00 |0.000 |2.000 |ZTRD|1170.40 |US|0070474274|
Laboratorio De Anatomia Patologica|E Citopatologia Santa Catarina|0070511252|0001|0308634606|20190619|PT|003000|IS78130-2|FLX M aHu CD23, cl DAK-CD23, RTU, AS/AS+|ZXX|Proposta: 2884007|20190617|202.02 |0.000 |1.000 |ZTRD|606.06 |BR|0070511252|CA0
