Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
Laboratory Corporation Of America||0070175354|0001|0308022216|20180912|9P|001000|12102013|Bond Elut SCX, 100mg 1ml, 100/pk|ZXX|0004489356|20180911|178.44 |0.000 |1.000 |ZTRD|1074.40 |US|0070007775|
Laboratory Corporation Of America||0070175354|0001|0308022216|20180912|BC|002000|A7521100X020|Pursuit XRS Ultra 2.8 Diphenyl 100x2.0mm|ZXX|0004489356|20180911|895.96 |0.000 |2.000 |ZTRD|1074.40 |US|0070007775|
Laboratory Corporation Of America||0070175354|0001|0308022217|20180912|RP|001000|FR48150-1|MultiM, Rb a Hu Kappa /FITC+Lambda /RPE|ZXX|0004489427|20180911|4122.92 |0.000 |12.000 |ZTRD|4122.92 |US|0070018170|
Laboratory Corporation Of America||0070175354|0001|0308022218|20180912|58|001000|0100-1849|Rotor seal, Tefzel for G1313|VL|0004489781|20180911|341.60 |0.000 |3.000 |ZTRD|341.60 |US|0070008065|
Laboratory Corporation Of America||0070175354|0001|0308022219|20180912|PT|001000|S341730|Seymour Label Kit f 3000 Labels|ZXX|0004490036|20180911|345.84 |0.000 |1.000 |ZTRD|772.60 |US|0070434284|
Laboratory Corporation Of America||0070175354|0001|0308022219|20180912|PT|002000|DL21330|DL21330 .SLIDE LABEL KIT SMALL FLAP EA=1|ZXX|0004490036|20180911|426.76 |0.000 |1.000 |ZTRD|772.60 |US|0070434284|
Laboratory Corporation Of America||0070175354|0001|0308022221|20180912|PT|001000|K800821-2|EnV FLEX Htx (Link)|ZXX|0004490044|20180911|438.00 |0.000 |2.000 |ZTRD|438.00 |US|0070434284|
Laboratory Corporation Of America||0070175354|0001|0308022222|20180912|58|001000|G1833-65570|Peri pump tube Ismaprene 3-stop yel/blu|FSA|0004490253|20180911|224.00 |0.000 |1.000 |ZTRD|224.00 |US|0070003936|
Quest Diagnostics Incorporated||0070002886|0001|0308022245|20180912|JW|001000|19091S-431|HP-5MS 15 meter, 0.25mm, 0.25u|FA|3000222826|20180911|573.64 |0.000 |2.000 |ZTRD|573.64 |US|0070001712|
Quest Diagnostics Incorporated||0070002886|0001|0308022246|20180912|UF|002000|5067-5366|Genomic DNA Reagents|BC|3400016831|20180911|197.49 |0.000 |1.000 |ZTRD|491.56 |US|0070447819|
Quest Diagnostics Incorporated||0070002886|0001|0308022246|20180912|UF|001000|5067-5365|Genomic DNA ScreenTape|BC|3400016831|20180911|294.07 |0.000 |1.000 |ZTRD|491.56 |US|0070447819|
Quest Diagnostics Incorporated||0070002886|0001|0308022247|20180912|9P|001000|A596002000B|Capt 96Well 20u Filter Bulk 100/pk|ZXX|6710283299|20180911|7674.06 |0.000 |2.000 |ZTRD|5400.98 |US|0070109258|
Quest Diagnostics Incorporated||0070002886|0001|0308022247|20180912|9P|002000|A596002000B|Capt 96Well 20u Filter Bulk 100/pk|ZXX|6710283299|20180911|5400.98 |0.000 |2.000 |ZTRD|5400.98 |US|0070109258|
University Of British Columbia||0070100282|0001|0308022560|20180912|UF|001050|G2938-90322|2100 High sensitiv DNA Quick Guide ENG|LP|20180911SEQ2129TS|20180911|0.00 |0.000 |1.000 |ZTRD|782.80 |CA|0070100282|
University Of British Columbia||0070100282|0001|0308022560|20180912|UF|001040|G2938-90402|2100 MSDS Link Tech Note ENG|LP|20180911SEQ2129TS|20180911|0.00 |0.000 |1.000 |ZTRD|782.80 |CA|0070100282|
University Of British Columbia||0070100282|0001|0308022560|20180912|UF|001030|G2938-85004|High Sensitivity DNA Reagent I|BC|20180911SEQ2129TS|20180911|0.00 |0.000 |1.000 |ZTRD|782.80 |CA|0070100282|
University Of British Columbia||0070100282|0001|0308022560|20180912|UF|001020|G2938-68706|Syringe Kit|FA|20180911SEQ2129TS|20180911|0.00 |0.000 |1.000 |ZTRD|782.80 |CA|0070100282|
University Of British Columbia||0070100282|0001|0308022560|20180912|UF|001010|G2938-68000|High Sensitivity DNA 10 Chips|BC|20180911SEQ2129TS|20180911|0.00 |0.000 |1.000 |ZTRD|782.80 |CA|0070100282|
University Of British Columbia||0070100282|0001|0308022560|20180912|UF|001000|5067-4626|High Sensitivity DNA Kit|ZHW|20180911SEQ2129TS|20180911|782.80 |0.000 |1.000 |ZTRD|782.80 |CA|0070100282|
VWR International LLC|c/o Chemours Company FC LLC|0070529717|0001|0308022581|20180912|58|001000|G3280-80053|Torch quartz 2.5mm id for ICP-MS|CONS|4508945937|20180911|361.60 |0.000 |1.000 |ZTRD|361.60 |US|0070009207|
EM Dynamics Inc||0070395098|0001|0308022678|20180912|9H|001000|SQ471|KIT OIL DRAIN MAT.NO.9499374-SCIEX|ZOEM|PO-03601|20180912|129.60 |0.000 |3.000 |ZTRD|129.60 |CA|0070395098|A11
United States Drug Testing|Laboratories Inc|0070007141|0001|0308022705|20180912|AA|003000|G1544-80530|GC Split Vent Replacement Cartridge,2/pk|FL|18-J-1272|20180912|384.70 |0.000 |4.000 |ZTRD|2802.75 |US|0070007141|
United States Drug Testing|Laboratories Inc|0070007141|0001|0308022705|20180912|58|001000|RMSH-2|Big Universal Trap, 1/8inch fttgs,Helium|ME|18-J-1272|20180912|1207.03 |0.000 |4.000 |ZTRD|2802.75 |US|0070007141|
United States Drug Testing|Laboratories Inc|0070007141|0001|0308022705|20180912|58|002000|RMSH-4|Big Universal Trap, 1/4in fttgs, Helium|ME|18-J-1272|20180912|1211.02 |0.000 |4.000 |ZTRD|2802.75 |US|0070007141|
SGS North America Inc|Meadows Office Complex|0070208694|0001|0308022925|20180912|JW|002000|122-5731|DB-5HT 30m, 0.25mm, 0.10u|FA|496705|20180912|521.30 |0.000 |1.000 |ZTRD|661.80 |US|0070432198|
SGS North America Inc|Meadows Office Complex|0070208694|0001|0308022925|20180912|58|001000|5190-5233|Column Nut, Self Tightening MSD|HM|496705|20180912|140.50 |0.000 |2.000 |ZTRD|661.80 |US|0070432198|
