Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
Stanford University||0070005630|0001|0308642573|20190622|SR|001000|200521|Kit,QuikChange II XL site-directed 10rx|BC|62137978|20190622|266.40 |0.000 |1.000 |ZTRD|266.40 |US|0070377870|
Stanford University||0070005630|0001|0308642573|20190622|SR|001010|200517-4|-80 10rxn QUIKCHANGE  PARTS|BC|62137978|20190622|0.00 |0.000 |1.000 |ZTRD|266.40 |US|0070377870|
Stanford University||0070005630|0001|0308642573|20190622|SR|001020|200521-5|-20 QUIKCHANGE II XL 10 RXNS|BC|62137978|20190622|0.00 |0.000 |1.000 |ZTRD|266.40 |US|0070377870|
VWR International Inc||0070549228|0001|0308642574|20190622|SR|001000|600674|PfuUltra II Fusion HS DNA Plymrs,400 Rxn|BC|4510130506|20190622|609.90 |0.000 |1.000 |ZTRD|609.90 |US|0070290741|
Nestle USA Inc||0070001952|0001|0308642575|20190622|58|002000|CP17973|Gas Clean Filter Carrier Gas|CONS|97542008|20190621|207.83 |0.000 |1.000 |ZTRD|1225.13 |US|0070001952|
Nestle USA Inc||0070001952|0001|0308642575|20190622|58|001000|5190-4006|Liner, Ultra Inert 2mm Dimpled 5/PK|FA|97542008|20190621|1017.30 |0.000 |5.000 |ZTRD|1225.13 |US|0070001952|
Mount Sinai School of Medicine||0070208324|0001|0308642579|20190622|UF|005000|5067-4626|High Sensitivity DNA Kit|ZHW|SM151691E|20190621|980.80 |0.000 |2.000 |ZTRD|980.80 |US|0070579910|CG2
Mount Sinai School of Medicine||0070208324|0001|0308642579|20190622|UF|005010|G2938-68000|High Sensitivity DNA 10 Chips|BC|SM151691E|20190621|0.00 |0.000 |2.000 |ZTRD|980.80 |US|0070579910|CG2
Mount Sinai School of Medicine||0070208324|0001|0308642579|20190622|UF|005020|G2938-68706|Syringe Kit|FA|SM151691E|20190621|0.00 |0.000 |2.000 |ZTRD|980.80 |US|0070579910|CG2
Mount Sinai School of Medicine||0070208324|0001|0308642579|20190622|UF|005030|G2938-85004|High Sensitivity DNA Reagent I|BC|SM151691E|20190621|0.00 |0.000 |2.000 |ZTRD|980.80 |US|0070579910|CG2
Mount Sinai School of Medicine||0070208324|0001|0308642579|20190622|UF|005040|G2938-90402|2100 MSDS Link Tech Note ENG|LP|SM151691E|20190621|0.00 |0.000 |2.000 |ZTRD|980.80 |US|0070579910|CG2
Mount Sinai School of Medicine||0070208324|0001|0308642579|20190622|UF|005050|G2938-90322|2100 High sensitiv DNA Quick Guide ENG|LP|SM151691E|20190621|0.00 |0.000 |2.000 |ZTRD|980.80 |US|0070579910|CG2
University of Redlands||0070118196|0001|0308642581|20190622|SR|001000|200172|Able K Competent Cells 5 x 0.2 ml|BC|P0023115|20190621|303.70 |0.000 |1.000 |ZTRD|303.70 |US|0070118196|
First American Equipment Finance||0070470631|0001|0308642583|20190622|74|001040|UP_FRONT_SERVICE_H|Up Front Support Services for Hardware|SV|EB2019549-SF01A|20190620|0.00 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|74|001060|H1142H|Familiarization at Installation (44L)|ZHS|EB2019549-SF01A|20190620|1161.10 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|003000|DNF-FSEW-OQ|Fragment Analyzer Verification Kit|ZXX|EB2019549-SF01A|20190620|896.00 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|003010|DNF-FSEW-FR|FA Verification, FR|ZBLOC|EB2019549-SF01A|20190620|0.00 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|003020|5191-6603|Fragment Analyzer Verification, 4C|ZBC|EB2019549-SF01A|20190620|0.00 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|003030|5191-6616|Verification, RT|ZBC|EB2019549-SF01A|20190620|0.00 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|001030|8120-1378|Cable Assembly-Power Cord 18AWG 2.3m-LG|IN|EB2019549-SF01A|20190620|0.00 |0.000 |3.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|001020|A2300-1250-3355|FA 12-Capillary Array Short, 33cm|ZXX|EB2019549-SF01A|20190620|0.00 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|74|001050|H1141H|Installation (44K)|ZHS|EB2019549-SF01A|20190620|1432.25 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|001010|FSV2-CE2F|5200 Fragment Analyzer|ZHW|EB2019549-SF01A|20190620|0.00 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
First American Equipment Finance||0070470631|0001|0308642583|20190622|UF|001000|M5310AA|5200 Fragment Analyzer|ZHW|EB2019549-SF01A|20190620|41066.90 |0.000 |1.000 |ZTRD|44556.25 |US|0070581879|L6A
Secon of New England LLC||0070029898|0001|0308642586|20190622|58|006000|5023-0271|Frit for 1290 Inline Filter, 0.3um, 5/pk|FL|WR1387|20190622|262.60 |0.000 |3.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642586|20190622|AA|005000|G1946-85021|5M Ammonium Formate Solution|CS|WR1387|20190622|232.65 |0.000 |2.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642586|20190622|AA|004000|G1969-85000|ESI-L Low Concentration Tuning Mix 100ml|CS|WR1387|20190622|413.65 |0.000 |3.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642586|20190622|58|003000|5068-0007|2-pos/6-port, Rotor seal|VL|WR1387|20190622|1442.74 |0.000 |3.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642586|20190622|AA|002000|5068-0012|Rotor 2pos/10port 1200Bar|VL|WR1387|20190622|1020.63 |0.000 |2.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642586|20190622|BC|001000|699775-912|Poroshell 120,Phe-Hex,2.1x50mm,2.7um|ZXX|WR1387|20190622|1526.85 |0.000 |4.000 |ZTRD|4899.12 |US|0070029898|
Childrens Hospital Los Angeles||0060012519|0001|0308642587|20190622|UF|005000|5067-5585|High Sensitivity D1000 Reagents|BC|0000576384|20190621|506.00 |0.000 |5.000 |ZTRD|506.00 |US|0070477545|CA1
Secon of New England LLC||0070029898|0001|0308642589|20190622|AA|002000|5068-0012|Rotor 2pos/10port 1200Bar|VL|WR1387|20190622|1020.63 |0.000 |2.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642589|20190622|BC|001000|699775-912|Poroshell 120,Phe-Hex,2.1x50mm,2.7um|ZXX|WR1387|20190622|1526.85 |0.000 |4.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642589|20190622|58|006000|5023-0271|Frit for 1290 Inline Filter, 0.3um, 5/pk|FL|WR1387|20190622|262.60 |0.000 |3.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642589|20190622|58|003000|5068-0007|2-pos/6-port, Rotor seal|VL|WR1387|20190622|1442.74 |0.000 |3.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642589|20190622|AA|004000|G1969-85000|ESI-L Low Concentration Tuning Mix 100ml|CS|WR1387|20190622|413.65 |0.000 |3.000 |ZTRD|4899.12 |US|0070029898|
Secon of New England LLC||0070029898|0001|0308642589|20190622|AA|005000|G1946-85021|5M Ammonium Formate Solution|CS|WR1387|20190622|232.65 |0.000 |2.000 |ZTRD|4899.12 |US|0070029898|
Bethesda Dermatopath Lab||0070516553|0001|0308642595|20190622|PT|080300|AR10211-2|Artisan Wash Sol, 50x, 4 x 200 mL|ZXX|62519|20190621|5.87 |0.000 |1.000 |ZTRD|9448.26 |US|0070516553|
Bethesda Dermatopath Lab||0070516553|0001|0308642595|20190622|PT|079300|AR30911-2|Artisan Clearing Solution|ZXX|62519|20190621|537.99 |0.000 |1.000 |ZTRD|9448.26 |US|0070516553|
Bethesda Dermatopath Lab||0070516553|0001|0308642595|20190622|PT|078320|AR1651B-2|Artisan PAS Stain Kit Box|ZBLOC|62519|20190621|0.00 |0.000 |2.000 |ZTRD|9448.26 |US|0070516553|
Bethesda Dermatopath Lab||0070516553|0001|0308642595|20190622|PT|078310|AR1651A-2|Artisan PAS Stain Kit Box 1|ZBLOC|62519|20190621|0.00 |0.000 |2.000 |ZTRD|9448.26 |US|0070516553|
Bethesda Dermatopath Lab||0070516553|0001|0308642595|20190622|PT|078300|AR16511-2|Artisan PAS Stain Kit|ZBLOC|62519|20190621|1418.33 |0.000 |2.000 |ZTRD|9448.26 |US|0070516553|
Bethesda Dermatopath Lab||0070516553|0001|0308642595|20190622|PT|078330|AR41030-7|Artisan - Slide clips, 50 per Box|ZXX|62519|20190621|0.00 |0.000 |4.000 |ZTRD|9448.26 |US|0070516553|
Bethesda Dermatopath Lab||0070516553|0001|0308642595|20190622|PT|077300|K802021-2|FLEX IHC Microscope Slides, 5x100 slide|ZXX|62519|20190621|43.64 |0.000 |3.000 |ZTRD|9448.26 |US|0070516553|
