Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
Baylor College of Medicine|O9E|0070013260|0001|0308656449|20190628|UF|001030|G2938-85004|High Sensitivity DNA Reagent I|BC|5601492462|20190627|0.00 |0.000 |2.000 |ZTRD|1103.40 |US|0070013260|L6A
Baylor College of Medicine|O9E|0070013260|0001|0308656449|20190628|UF|001000|5067-4626|High Sensitivity DNA Kit|ZHW|5601492462|20190627|1103.40 |0.000 |2.000 |ZTRD|1103.40 |US|0070013260|L6A
Baylor College of Medicine|O9E|0070013260|0001|0308656449|20190628|UF|001010|G2938-68000|High Sensitivity DNA 10 Chips|BC|5601492462|20190627|0.00 |0.000 |2.000 |ZTRD|1103.40 |US|0070013260|L6A
Baylor College of Medicine|O9E|0070013260|0001|0308656449|20190628|UF|001020|G2938-68706|Syringe Kit|FA|5601492462|20190627|0.00 |0.000 |2.000 |ZTRD|1103.40 |US|0070013260|L6A
Baylor College of Medicine|O9E|0070013260|0001|0308656449|20190628|UF|001050|G2938-90322|2100 High sensitiv DNA Quick Guide ENG|LP|5601492462|20190627|0.00 |0.000 |2.000 |ZTRD|1103.40 |US|0070013260|L6A
Baylor College of Medicine|O9E|0070013260|0001|0308656449|20190628|UF|001040|G2938-90402|2100 MSDS Link Tech Note ENG|LP|5601492462|20190627|0.00 |0.000 |2.000 |ZTRD|1103.40 |US|0070013260|L6A
University of Oklahoma||0070232094|0001|0308656477|20190628|UF|004000|5067-5584|High Sensitivity D1000 ScreenTape|BC|NORMN-4000566551|20190627|596.70 |0.000 |2.000 |ZTRD|1161.27 |US|0070232094|2AX
University of Oklahoma||0070232094|0001|0308656477|20190628|UF|001000|5067-5582|D1000 ScreenTape|BC|NORMN-4000566551|20190627|182.75 |0.000 |1.000 |ZTRD|1161.27 |US|0070232094|2AX
University of Oklahoma||0070232094|0001|0308656477|20190628|UF|005000|5067-5585|High Sensitivity D1000 Reagents|BC|NORMN-4000566551|20190627|202.30 |0.000 |2.000 |ZTRD|1161.27 |US|0070232094|2AX
University of Oklahoma||0070232094|0001|0308656477|20190628|UF|006000|5067-5603|High Sensitivity D1000 Sample Buffer|BC|NORMN-4000566551|20190627|179.52 |0.000 |4.000 |ZTRD|1161.27 |US|0070232094|2AX
Predicine Inc||0070494424|0001|0308656546|20190628|UF|009000|5067-4626|High Sensitivity DNA Kit|ZHW|11357|20190627|5517.00 |0.000 |10.000 |ZTRD|11444.20 |US|0070494424|CA0
Predicine Inc||0070494424|0001|0308656546|20190628|UF|008050|G2938-90402|2100 MSDS Link Tech Note ENG|LP|11357|20190627|0.00 |0.000 |4.000 |ZTRD|11444.20 |US|0070494424|CA0
Predicine Inc||0070494424|0001|0308656546|20190628|UF|008040|G2938-90015|Agilent DNA 1000 Kit Quick Start Guide|LP|11357|20190627|0.00 |0.000 |4.000 |ZTRD|11444.20 |US|0070494424|CA0
