~id,~from,~to,~label
308022216,70175354,12102013,order
308022216,70175354,A7521100X020,order
308022217,70175354,FR48150-1,order
308022218,70175354,0100-1849,order
308022219,70175354,S341730,order
308022219,70175354,DL21330,order
308022221,70175354,K800821-2,order
308022222,70175354,G1833-65570,order
308022678,70395098,SQ471,order
308022705,70007141,G1544-80530,order
308022705,70007141,RMSH-4,order
308022705,70007141,RMSH-2,order
308023070,70282180,8120-1378,order
308023070,70282180,G7162AR,order
308023070,70282180,G7162-64000-RNC,order
308023070,70282180,G4800-64600,order
308023070,70282180,G7162-68755,order
308023070,70282180,UP_FRONT_SERVICE_H,order
308023070,70282180,H1141H,order
308023070,70282180,H1142H,order
308023081,70548772,5040-4667,order
308023137,70111477,8120-1378,order
308023137,70111477,H1142H,order
308023137,70111477,G7121BR,order
308023137,70111477,G7121-64010-RNC,order
308023137,70111477,G7121-68755,order
308023137,70111477,UP_FRONT_SERVICE_H,order
308023137,70111477,H1141H,order
308023191,70011684,230132,order
308023192,70243238,CS70330-2,order
308023192,70243238,CS70430-2,order
308023199,70011684,200517,order
308023199,70011684,200517-5,order
308023199,70011684,200517-4,order
308023200,70548772,5181-8827,order
308023204,70221200,GC81030-2,order
308023207,70011684,401425,order
308023216,70532420,G1531-80620,order
308023217,70011684,401428,order
308023228,70011684,600129,order
308023236,70011684,200315,order
308023240,70011684,200315,order
308023241,70511248,K800521-2,order
308023241,70511248,K802021-2,order
308023241,70511248,K802321-2,order
308023241,70511248,IR62661-2,order
308023241,70511248,IR06861-2,order
308023241,70511248,IR08461-2,order
308023246,70366090,16985-001,order
308023252,70011684,401428,order
308023259,70011684,600255,order
308023262,70523483,CS70330-2,order
308023262,70523483,CR12130-7,order
308023264,60003987,M356701-8,order
308023282,70549228,600011,order
308023284,70523483,K802321-2,order
308023284,70523483,K800521-2,order
308023284,70523483,IR62661-2,order
308023289,70216820,5183-4757,order
308023289,70216820,5182-0720,order
308023289,70216820,5182-0715,order
308023289,70216820,5080-8853,order
308023289,70216820,5188-5365,order
308023289,70216820,5181-3323,order
308023289,70216820,5062-3508,order
308023289,70216820,5181-8830,order
308023289,70216820,5181-3354,order
308023289,70216820,5183-4647,order
308023289,70216820,18740-80220,order
308023289,70216820,5181-3316,order
308023289,70216820,122-5032,order
308023289,70216820,122-7032,order
308023289,70216820,M8417AA,order
308023289,70216820,M8417-64001,order
308023289,70216820,M8490-64000,order
308023289,70216820,UP_FRONT_SERVICE_S,order
308023289,70216820,H1141A,order
308023289,70216820,H1142A,order
308023289,70216820,H1149S,order
308023289,70216820,H5917A,order
308023289,70216820,19199N,order
308023289,70216820,G4350B,order
308023289,70216820,G4600-64006,order
308023289,70216820,M8402-64001,order
308023289,70216820,19091J-413,order
308023289,70216820,G4350-60580,order
308023289,70216820,5188-5372,order
308023289,70216820,G1530-61400,order
308023289,70216820,G4331-60640,order
308023289,70216820,G4349-60700,order
308023289,70216820,G4352-60550,order
308023289,70216820,8121-1787,order
308023289,70216820,UP_FRONT_SERVICE_H,order
308023289,70216820,H1141H,order
308023289,70216820,H1142H,order
308023289,70216820,H1149H,order
308023289,70216820,G4513A,order
308023289,70216820,G4513-64000,order
308023289,70216820,G4600-64006,order
