~id,~from,~to,~label
0,3700014600,CP4260,reference
7,PST-4395M1000,SOL-0201,reference
14,PST-5015-10MG,SOL-2635,reference
21,NPM-525C-1,SOL-0991,reference
28,PST-3960-10MG,SOL-2354,reference
35,QCM-200,SOL-0895,reference
42,WRK-142T,SWRK-142T,reference
49,190026433,5190-8209,reference
56,X3511-64015,X3512-64016,reference
63,TFP-14-1,SOL-3040,reference
70,EPA-1088-1,SOL-0060,reference
77,PPM-175-1,SOL-0891,reference
84,PST-6460-100MG,SOL-2947,reference
91,NPI-TEST-CLP-351X,SOL-0070,reference
92,SOR-120-1,SPST-2540,reference
99,PPM-632A-1,SOL-0953,reference
106,PANAL0222-6,SOL-1717,reference
113,HC-480-1,AGMTD_187,reference
120,US-335-1,SOL-0865,reference
127,PSM-105-L,SOL-1889,reference
135,PST-1760M100A01,SOL-0720,reference
142,PH-170-1,AGMTD_187,reference
149,US-202-1,SOL-0170,reference
156,DWM-524A-1,SOL-0141,reference
163,G2180-90004,G2180-90023,reference
170,TCLP-531-1,SOL-0945,reference
177,PSM-105-B,SOL-0745,reference
184,PMX-300-1,SOL-0269,reference
191,NAIM-529-F,SOL-0252,reference
198,NVM-8015-1,SOL-0020,reference
205,PMX-144-1,SOL-0231,reference
212,PANAL0225-3,ISOL-0748A,reference
219,A4134,5190-5087,reference
226,PST-130-25MG,SOL-0762,reference
233,DWM-583-1,SOL-0253,reference
240,NPM-625-1,SOL-0709,reference
247,RPC-140,SRPC-140,reference
254,PSM-101-B,SOL-0775,reference
261,CP7334,CP7334I,reference
268,5182-0745,5183-4758,reference
275,PST-2345-10MG,SPST-2345,reference
282,0410103020,410103020,reference
289,US-227-1,SOL-1254,reference
296,PANAL0213-3,AGMTD_26,reference
303,PAH-615-1,SOL-0535,reference
310,PST-3090-10MG,SOL-0887,reference
317,PST-2175A1000,SOL-0813,reference
324,IST-340-1,AGMTHD_71,reference
331,NAIM-545-1,SOL-0392,reference
338,PST-5850-10MG,AGMTD_252,reference
345,PM-831A-1,SOL-0615,reference
352,SVM-8270-1,SOL-0510,reference
359,ICC-010,AGMTD_180,reference
366,TFP-07-1,SPST-2115,reference
373,IMS-130-5,ISOL-8131B,reference
380,AL98719,5181-1214,reference
387,PPS-150-1,SRPC-060,reference
394,PANAL0217-1,AGMTD_4,reference
401,THM-511-1,SOL-0076,reference
408,190026404,5190-8358,reference
415,PST-071,SOL-0890,reference
422,QCM-125,SOL-0051,reference
429,CLP-200N-1,SOL-0905,reference
436,CB-680-1,SRPC-024,reference
443,CLP-120-1,AGMTD_166,reference
450,ICM-150,ISOL-2831A,reference
464,SVM-251-1,SOL-0102,reference
471,CLP-226C-1,SOL-0871,reference
478,XY-0127-1,AGMTD_129,reference
485,G1999-65461,G1999-20007,reference
499,PPM-515A-1,AGMTD_70,reference
506,NAIM-529-H,SOL-0394,reference
527,DWM-587-1,SOL-0731,reference
534,HBM-536-1,SOL-0245,reference
541,STM-600-1,SOL-0318,reference
548,PANAL0224-4,AGMTD_41,reference
569,HCM-555-1,SOL-0051,reference
583,EPA-1069-1,SOL-0029,reference
590,FLSA-074,SFLSA-074,reference
597,PST-4945A1000,SOL-1307,reference
604,ICM-810-5,ISOL-8300A,reference
611,PST-2155A100A01,SPST-2155,reference
618,1242TK-1,SOL-1242,reference
625,PSM-105-J,SOL-3068,reference
632,NPI-TEST-DWM-645-1,SOL-0265,reference
640,UST-120-1,SOL-0040,reference
647,PST-2495M100A01,SOL-1079,reference
654,US-244-1,AGMTD_170,reference
668,NPI-TEST-CLP-311-1,SOL-0148,reference
669,SNY-100-1,SOL-0152,reference
676,FLSA-023,SFLSA-023,reference
683,QCI-705A,ISOL-3308B,reference
690,PMX-100-1,SOL-0105,reference
697,G1946-60076,G1960-60076,reference
704,PSM-105-F,SOL-3865,reference
711,PHM-5524M-1,SOL-1021,reference
718,ICP-015,ISOL-0747BC,reference
725,X3511-64000,X3501-64016,reference
739,SG073109,5181-3323,reference
746,ICP-181,ISOL-8131B,reference
753,G5550-13815,G5550-23619,reference
760,SWA-310-1,SRNA-016,reference
796,392620550,8010-0011,reference
803,PST-1270,SPST-1270,reference
810,SVM-140-1,SOL-0199,reference
824,EPA-2011N-1,SOL-0225,reference
831,DWM-610-1,SOL-0043,reference
845,EPA-1061-1,AGMTD_187,reference
859,PST-2285K1000,SPST-2285,reference
866,PST-170,SOL-0835,reference
873,RPC-167S,SRPC-167,reference
887,US-201A-5ML,SOL-0155,reference
901,D471-B-1,SOL-0266,reference
908,PMX-146-1,SOL-0236,reference
915,UST-300-1,SOL-0650,reference
922,PSM-105-D,SOL-0728,reference
929,UST-141-1,AGMTD_199,reference
936,RPE-016,SRPE-016,reference
950,PST-625K1000,SOL-0715,reference
957,RPC-133,SRPC-133,reference
964,SVM-126-1,AGMTD_170,reference
971,US-455-1,SOL-0206,reference
978,PPM-609-1,AGMTD_115,reference
985,STM-401-1,AGMTD_141,reference
999,UST-210-1,SRNA-026,reference
1006,US-101N-1,SOL-0225,reference
1013,PAH-665-1,SOL-0535,reference
1020,PST-940A1000,SOL-0718,reference
1024,HBM-542-1,SOL-0835,reference
1031,PST-1400,SOL-1429,reference
1038,US-127-1,SOL-0700,reference
1045,HCM-547-1,SOL-0108,reference
1052,PANAL0216-3,AGMTD_26,reference
1059,99763003,8010-0224,reference
1066,HCM-630-1,SOL-0139,reference
1073,RCC-150,SOL-0017,reference
1080,DWM-514-1,SOL-0261,reference
1087,PAH-605-1,SOL-0535,reference
1094,ICM-461,ISOL-3308B,reference
1101,DWM-539-1,SOL-0042,reference
1108,WRK-100S,SWRK-100S,reference
1115,PST-2075-100MG,SPST-2075,reference
1122,DWM-544-1,GAS-100,reference
1129,ISM-310-1,SOL-0300,reference
1136,PANAL0225-6,ISOL-1131A,reference
1143,ISM-320-1,AGMTHD_97,reference
1150,X3511-64016,X3501-64016,reference
1157,PMX-225-1,SOL-0050,reference
1164,SYRCHS5235,G6500-80111,reference
1171,820662-906,820662-926,reference
1178,TFP-25-1,SPST-2570,reference
1185,ISM-522-1,AGMTHD_21,reference
1192,EPA-1050-1,SOL-0275,reference
1199,SVM-102-1,SOL-0102,reference
1206,SNJ-200-1,SOL-0685,reference
1213,ICP-046-25,ISOL-4600A,reference
1220,TFP-02-1,SOL-2180,reference
1227,D471-C-1,AGMTD_215,reference
1234,PANAL0214-3,AGMTD_26,reference
1241,RGO-302-1,SOL-2175,reference
1248,SOR-100-1,SOL-2742,reference
1255,US-280-1,SOL-0029,reference
1262,FRCS-156H,SWRK-143H,reference
1269,US-112A-1,SOL-0810,reference
1276,ASTM-100-1,SOL-0654,reference
1283,DWM-589N-1,SOL-0141,reference
1290,ICP-326,ISOL-2631B,reference
1297,PST-761-10MG,SOL-0970,reference
1304,PPM-485-1,AGMTD_115,reference
1311,392611634,8010-0002,reference
1318,QCM-111,SOL-0104,reference
1325,PANAL0222-3,SOL-1716,reference
1332,PST-3380-10MG,SOL-2734,reference
1339,SMA-330-1,SOL-0610,reference
1346,HBM-816M-1,SOL-1388,reference
1353,PST-2545K1000,SPST-2545,reference
1360,RPC-156,SRPC-156,reference
1374,US-450-1,AGMTD_129,reference
1381,PPM-165-1,SOL-0860,reference
1388,NPM-103-1,SOL-0982,reference
1395,CP10266,5190-3976,reference
1402,RGO-312-1,SOL-2175,reference
1409,NPM-530-1,SOL-0831,reference
1416,SOR-125-1,SOL-0490,reference
1423,PPM-695-1,SOL-0810,reference
1430,PST-3605A1000,SOL-2341,reference
1437,DWM-587A-1,SOL-0855,reference
1444,RPC-135S,SRPC-135,reference
1451,TFP-08-1,SOL-2563,reference
1458,US-130-1,SOL-0066,reference
1465,IAA-274,ISOL-7401,reference
1472,RPCM-245-1,SRPC-138,reference
1479,PST-2040A100A01,SOL-1084,reference
1486,CB-683M-1,SRPC-048,reference
1493,RAB-009,SRAB-009,reference
1507,ISM-280N-1,SOL-0340,reference
1514,8010-0193,9301-0978,reference
1521,PST-391,SOL-0791,reference
1528,CP8773,CP8773I,reference
1535,UST-100-1,SOL-0040,reference
1542,PPM-551B-1,SOL-0942,reference
1549,CP69024,5182-3465,reference
1556,PST-2850M100A01,SOL-1558,reference
1563,HBM-8150M-1,SOL-1020,reference
1570,CLP-301-1,SOL-0115,reference
1577,SAK-210-1,SRNA-016,reference
1584,PHM-834A-1,SOL-0084,reference
1591,ICP-104-25,ISOL-0432A,reference
1598,PSM-105-G,SOL-1877,reference
1605,PST-2680-25MG,SOL-0892,reference
1612,SFL-601-1,SOL-0683,reference
1619,G5667-60504,G5667-81002,reference
1626,PL2143-4001,PL2143-4000,reference
1647,DWM-535-1,SOL-0041,reference
1654,GCM-156-1,SOL-0046,reference
1661,RCB-004,SOL-0044,reference
1668,SG092004,5181-8818,reference
1682,ICC-017,ISOL-1167B,reference
1689,WRK-140A,SOL-0347,reference
1696,D471-E-1,SOL-1411,reference
1710,CLP-152-1,AGMTD_184,reference
1717,MV-V-392511025,392511025,reference
1724,EPA-1165-1,AGMTD_66,reference
1731,SVM-127-1,SOL-0142,reference
1738,CP28535,880952-703,reference
1745,RPE-019A,SRPE-019,reference
1752,HBM-5156M-1,SOL-1018,reference
1766,FLSA-110,SFLSA-110,reference
1773,STS-110N-1,AGMTD_75,reference
1780,ICP-022-25,ISOL-0776A,reference
1787,PSM-101-C,SOL-1312,reference
1794,PMX-105-1,SOL-0048,reference
1801,RGO-702-1,AGMTD_245,reference
1808,RNH-142,SRNH-142,reference
1815,PAH-645-1,SOL-0535,reference
1822,PST-2655-25MG,SPST-2655,reference
1829,G5664-86703,G5664-68712,reference
1836,WRK-101J,SOL-0682,reference
1843,NPI-TEST-PPM-251-1,SOL-0955,reference
1844,US-241-1,SOL-0199,reference
1851,QCM-100,SOL-0137,reference
1858,US-119-1,SOL-0995,reference
