~id,product_item:String,product_line:String,product_desc:String,~label
12102013,1000,9P,"Bond Elut SCX, 100mg 1ml, 100/pk",product
A7521100X020,2000,BC,Pursuit XRS Ultra 2.8 Diphenyl 100x2.0mm,product
FR48150-1,1000,RP,"MultiM, Rb a Hu Kappa /FITC+Lambda /RPE",product
0100-1849,1000,58,"Rotor seal, Tefzel for G1313",product
S341730,1000,PT,Seymour Label Kit f 3000 Labels,product
DL21330,2000,PT,DL21330 .SLIDE LABEL KIT SMALL FLAP EA=1,product
K800821-2,1000,PT,EnV FLEX Htx (Link),product
G1833-65570,1000,58,Peri pump tube Ismaprene 3-stop yel/blu,product
SQ471,1000,9H,KIT OIL DRAIN MAT.NO.9499374-SCIEX,product
G1544-80530,3000,AA,"GC Split Vent Replacement Cartridge,2/pk",product
RMSH-4,2000,58,"Big Universal Trap, 1/4in fttgs, Helium",product
RMSH-2,1000,58,"Big Universal Trap, 1/8inch fttgs,Helium",product
8120-1378,1040,RB,Cable Assembly-Power Cord 18AWG 2.3m-LG,product
G7162AR,1000,RB,Détecteur réfract 1260 Infinity II rec,product
G7162-64000-RNC,1010,RB,"1260 Infinity II RID, refurb",product
G4800-64600,1020,RB,InfinityLab LC Series User Documentation,product
G7162-68755,1030,RB,1260 RI detector Accessory Kit,product
UP_FRONT_SERVICE_H,1050,74,Up Front Support Services for Hardware,product
H1141H,1060,74,Installation (44K),product
H1142H,1070,74,Familiarisation à l'installation (44L),product
5040-4667,1000,58,Ergonomic Manual Crimper for 11mm caps,product
8120-1378,1030,RB,Cable Assembly-Power Cord 18AWG 2.3m-LG,product
H1142H,1060,74,Familiarization at Installation (44L),product
G7121BR,1000,RB,Refurbished 1260 Infinity II FLD Spectra,product
G7121-64010-RNC,1010,RB,"1260 Inf-II FLD Spectra + Std FC, refurb",product
G7121-68755,1020,RB,Accessory Kit,product
UP_FRONT_SERVICE_H,1040,74,Up Front Support Services for Hardware,product
H1141H,1050,74,Installation (44K),product
230132,1000,SR,BL21-Gold (DE3) Competent Cells,product
CS70330-2,6000,PT,Meio de montagem Dako,product
CS70430-2,7000,PT,"Laminulas 24 x 50 mm, 1000 pecas",product
200517,1000,SR,"Kit,QuikChange XL Site-Directed 10 rxn",product
200517-5,1020,SR,-20 QUIKCHANGE XL 10 RXNS,product
200517-4,1010,SR,-80 10rxn QUIKCHANGE  PARTS,product
5181-8827,1000,58,"Decapper, 8mm vial caps",product
GC81030-2,76453,PT,Clearify,product
401425,1000,SR,Mx3000P Optical Strip Caps (120 count),product
G1531-80620,1000,AA,"Jet,Cap Optimized, high temp,0.47mm ID",product
401428,1000,SR,Mx3000P Strip Tubes,product
600129,1000,SR,"Perfect Match PCR Enhancer, 100U",product
200315,1000,SR,"XL10-Gold Competent Cells, 10 x 100 ul",product
200315,1000,SR,"XL10-Gold Competent Cells, 10 x 100 ul",product
K800521-2,27074,PT,"EnV FLEX TRS, Low pH (50x)",product
K802021-2,26074,PT,"FLEX IHC Microscope Slides, 5x100 slide",product
K802321-2,25074,PT,"EnV FLEX, Mini Kit, High pH (Link)",product
IR62661-2,24074,PT,"FLEX Mono Mo a Hu Ki-67 Ag, cl MIB-1,RT",product
IR06861-2,23074,PT,"FLX Mab X-H PR, cl PgR 636, RTU, Link",product
IR08461-2,22074,PT,"FLEX RbxH ER alpha cl EP1, RTU, (Link)",product
16985-001,1000,V1,Clear Peelable Seal,product
401428,1000,SR,Mx3000P Strip Tubes,product
600255,1000,SR,"Pfu Turbo Alternative Detergent, 100U",product
CS70330-2,7002,PT,Dako Mounting Medium,product
CR12130-7,6002,PT,"Cover Glass, 24 x 60 mm, 1000 pcs",product
M356701-8,1000,PT,"Mono MxH Fascin, cl 55K-2",product
600011,1000,SR,"T4 DNA Ligase, 300U",product
K802321-2,1002,PT,"EnV FLEX, Mini Kit, High pH (Link)",product
K800521-2,6002,PT,"EnV FLEX TRS, Low pH (50x)",product
IR62661-2,70010,PT,"FLEX Mono Mo a Hu Ki-67 Ag, cl MIB-1,RT",product
5183-4757,4000,58,Septa Non-Stick BTO Inlet 11mm 50 pk,product
5182-0720,5000,58,Tampas de rosca azuis.,product
5182-0715,6000,58,Frasco para uso com tampa de rosca.,product
5080-8853,7000,58,Anilha em grafite,product
5188-5365,8000,58,"Liner O-Ring, Non-Stick 10PK",product
5181-3323,9000,58,Anilha,product
5062-3508,10000,58,Anilha,product
5181-8830,11000,58,Porca para coluna,product
5181-3354,12000,58,Seringa cromatografica,product
5183-4647,13000,58,Liner para injetor Split/Splitless,product
18740-80220,14000,58,Tubo de sílica fundida,product
5181-3316,15000,58,"Tubo de vidro tipo ""liner""",product
122-5032,16000,JW,"DB-5 30m, 0.25mm, 0.25u",product
122-7032,17000,JW,"DB-WAX 30m, 0.25mm, 0.25u",product
M8417AA,18000,LI,OpenLAB CDS VL Workstation software,product
M8417-64001,18010,LI,OpenLAB CDS VL Workstation AuthCode Qty1,product
M8490-64000,18020,LI,OpenLAB CDS USB Media,product
UP_FRONT_SERVICE_S,18030,74,Up Front Support Services for Software,product
H1141A,18040,74,Installation (44K),product
H1142A,18050,74,Familiarization at Installation (44L),product
H1149S,18060,74,Support Funding,product
H5917A,19000,74,Zone 2 Travel Charge,product
19199N,3000,58,Conjunto de peças para instalação,product
G4350B,1000,AZ,7820 with Control for OpenLAB CDS VL,product
G4600-64006,1010,AZ,GC And GC/MS User Manuals and Tools,product
M8402-64001,1020,AZ,OpenLAB CDS Inst. Driver for GC VL,product
19091J-413,1030,AZ,Coluna capilar HP-5,product
G4350-60580,1040,AZ,7820 Mainframe Ship Kit,product
5188-5372,1050,AZ,FID MDL test sample 3x0.5 ml ampoules,product
G1530-61400,1060,AZ,STD. Syringe Kit,product
G4331-60640,1070,AZ,7820 FID Packed and Capillary Ship Kit,product
G4349-60700,1080,AZ,ALS controller ship kit,product
G4352-60550,1090,AZ,7820 SSL Inlet Ship Kit,product
8121-1787,1100,AZ,Cable-Assembly Powercord 3-COND 250V,product
UP_FRONT_SERVICE_H,1110,74,Up Front Support Services for Hardware,product
H1141H,1120,74,Installation (44K),product
H1142H,1130,74,Familiarization at Installation (44L),product
H1149H,1140,74,Support Funding,product
G4513A,2000,AZ,7693A Autoinjector,product
G4513-64000,2010,AZ,G4513A Injector (COO-CN),product
G4600-64006,2020,AZ,GC And GC/MS User Manuals and Tools,product
UP_FRONT_SERVICE_H,2030,74,Up Front Support Services for Hardware,product
H1141H,2040,74,Installation (44K),product
H1142H,2050,74,Familiarization at Installation (44L),product
H1149H,2060,74,Support Funding,product
102720-100,1000,XF,Seahorse XF Palmitate-BSA FAO Substrate,product
101122-100,2000,XF,Seahorse XF24 Islet Capture Microplates,product
5183-4757,5000,58,Septa Non-Stick BTO Inlet 11mm 50 pk,product
2010090400,4000,AA,"Torch one piece, axial 2.4mm id injector",product
12282003,3000,9P,"Bond Elut-Accucat, 200mg 3ml, 60/pk",product
12198007,2000,9P,"Chem Elut-10ml, Unbuffered, 100/pk",product
12105005,1000,9P,"Bond Elut-PPL, 200mg 3mL, 50/PK",product
5190-3165,6000,58,"Liner,UI,universal,low prss drop,GW,5/pk",product
IR60461-2,10003,PT,"FLEX Mono Mo a Hu CD20cy, cl L26, RTU",product
IR06261-2,9003,PT,"FLEX Mono MxH CD15, cl Carb-3 RTU (Link",product
IR75261-2,8003,PT,"FLEX Mono Mo a CMV, cls CCH2+DDG9, RTU",product
IR08261-2,11003,PT,"FLEX Mono Mo X-H CD5 cl 4C7, RTU, (Link",product
G2938-68000,1010,UF,High Sensitivity DNA 10 Chips,product
5067-4626,1000,UF,High Sensitivity DNA Kit,product
G2938-85004,1030,UF,High Sensitivity DNA Reagent I,product
G2938-68706,1020,UF,Syringe Kit,product
G2938-90402,1040,UF,2100 MSDS Link Tech Note ENG,product
G2938-90322,1050,UF,2100 High sensitiv DNA Quick Guide ENG,product
G1033B,4000,BZ,NIST 2017 MS Library Bundle,product
G1033-64001,4010,BZ,G1033B Software,product
19199M,5000,58,Conjunto de peças para montagem,product
5183-4757,6000,58,Septa Non-Stick BTO Inlet 11mm 50 pk,product
5188-5365,8000,58,"Liner O-Ring, Non-Stick 10PK",product
G3391A,3000,BZ,Site Preparation Package,product
H1149H,2110,74,Support Funding,product
H1142H,2100,74,Familiarization at Installation (44L),product
H1141H,2090,74,Installation (44K),product
5080-8853,7000,58,Anilha em grafite,product
5181-8830,12000,58,Porca para coluna,product
5062-3508,9000,58,Anilha,product
5181-3323,10000,58,Anilha,product
CP9205,11000,JW,VF-WAXms 30m x 0.25mm x 0.25um,product
5188-2753,13000,58,"Vial,HS,screw,20ml,clr,100PK",product
5188-2759,14000,58,Hdsp cap 18mm magnetic PTFE/sil 100pk,product
18740-80220,18000,58,Tubo de sílica fundida,product
5040-4671,15000,58,Ergonomic Manual DeCapper for 20mm caps,product
H5917A,21000,74,Zone 2 Travel Charge,product
G7005-60061,20000,AA,"Filament,high temperature EI for GCMS",product
5181-3316,19000,58,"Tubo de vidro tipo ""liner""",product
5183-4647,17000,58,Liner para injetor Split/Splitless,product
5040-4669,16000,58,Ergonomic Manual Crimper for 20mm caps,product
UP_FRONT_SERVICE_H,2080,74,Up Front Support Services for Hardware,product
G1099-80039,1080,BZ,"Oil Mist Filter, 3/8 BSP Male Threads",product
G1680-63721,1070,BZ,Network LAN Switch,product
8121-0008,1060,BZ,Cable-Assembly Patch Cord 24AWG 8-Conduc,product
G4351-60585,1050,BZ,Ship Kit; 7820A MSD Interface/SSL Inlet,product
G1680-64578,1140,BZ,PC Kit - MSD Software English,product
CP17974,1040,BZ,Gas Clean Filter Kit for Carrier Gas,product
G7003-60506,1020,BZ,GCMS Ship Kit,product
G7077-60502,1010,BZ,MSD Ship Kit,product
G7076BW,1000,BZ,5977B MSD Bundle with 7820 GC,product
G7077-60807,1030,BZ,"GC-MSD Comm Cable, External",product
G3870-00015,1090,BZ,Duo 2.5s and DS-42 Pump Oil Pan,product
G1701-64601,1100,BZ,MSD Chemstation DA Kit,product
G7077-64131,1110,BZ,5977B Std Turbo MSD,product
5188-5347,1120,BZ,OFN NCI Checkout standard 100 fg/uL,product
5188-5348,1130,BZ,OFN EI Checkout standard 1 pg/uL,product
G1680-63540,1150,BZ,21.5 inch Widescreen LCD Monitor,product
8120-8340,1250,BZ,"Power Cord, Europlug, C7, 250V Max, 2.5A",product
G1680-63ABA,1160,BZ,English Keyboard,product
G1701-64230,1170,BZ,GCMSD Familiarization - MassHunter,product
G1701-64600,1180,BZ,GCMSD Software Kit English,product
G7077-64008,1190,BZ,HW User Info Kit 5977 Parts,product
G3170-64001,3010,BZ,English Site Prep Kit,product
8121-1809,2070,AZ,"Power Cord, Brazil, C13, 250V Max",product
G7381-68000,2050,AZ,PAL3 Headspace Consumable Kit,product
G3440-60013,2040,AZ,7890 GC Detector Cover For Use With CTC,product
G7366-68000,2030,AZ,PAL3 Liquid Consumable Kit,product
G7388-64000,2020,AZ,PAL3 Control SW Kit,product
G7367-64120,2010,AZ,PAL3 RSI 85 Autosampler Liq-HS,product
G7367A,2000,AZ,PAL3 RSI 85 Autosampler Bundle,product
H1149H,1310,74,Support Funding,product
H1147H,1300,74,1 Year SW Update/Phone Assist     (44W),product
H1142H,1290,74,Familiarization at Installation (44L),product
H1141H,1280,74,Installation (44K),product
UP_FRONT_SERVICE_H,1270,74,Up Front Support Services for Hardware,product
G7371-60006,2060,AZ,Mounting Kit for Agilent GC 7820,product
8121-1787,1260,BZ,Cable-Assembly Powercord 3-COND 250V,product
8121-1809,1240,BZ,"Power Cord, Brazil, C13, 250V Max",product
G4351-64002,1230,BZ,7820A GC For MSD 220V,product
G3870-80056,1220,BZ,New-Duo 2.5 Rvp (230v),product
G4600-64400,1210,BZ,GC and GCMS eFamiliarization SW kit,product
G4600-64006,1200,BZ,GC And GC/MS User Manuals and Tools,product
G2938-90037,1070,UF,Quick Guide RNA 6000 Nano Kit,product
5067-1511,1000,UF,RNA 6000 Nano kit,product
G2938-90322,3050,UF,2100 High sensitiv DNA Quick Guide ENG,product
G2938-85004,3030,UF,High Sensitivity DNA Reagent I,product
G2938-68706,3020,UF,Syringe Kit,product
G2938-68000,3010,UF,High Sensitivity DNA 10 Chips,product
5067-4626,3000,UF,High Sensitivity DNA Kit,product
G2938-90049,2070,UF,Quick Guide RNA 6000 Pico Assay,product
G2938-90402,3040,UF,2100 MSDS Link Tech Note ENG,product
G2938-90402,2060,UF,2100 MSDS Link Tech Note ENG,product
G2938-80039,2050,UF,RNA 6000 Pico ladder,product
G2938-68706,2030,UF,Syringe Kit,product
5067-1524,2020,UF,RNA-PICO-25-Chips,product
5065-9940,2010,UF,Pre-packed Tubes for RNA-Assays,product
5065-9940,1010,UF,Pre-packed Tubes for RNA-Assays,product
